predicted,targets
phishing,phishing
legitimate,phishing
legitimate,legitimate
phishing,phishing
phishing,legitimate
legitimate,legitimate
legitimate,phishing
phishing,phishing
legitimate,phishing
legitimate,legitimate
phishing,phishing
legitimate,phishing
legitimate,phishing
legitimate,legitimate
phishing,phishing
legitimate,phishing
legitimate,phishing
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
phishing,phishing
legitimate,phishing
legitimate,legitimate
phishing,legitimate
legitimate,legitimate
legitimate,phishing
phishing,legitimate
phishing,legitimate
phishing,phishing
phishing,phishing
legitimate,phishing
legitimate,phishing
phishing,legitimate
phishing,phishing
phishing,phishing
phishing,phishing
phishing,phishing
legitimate,legitimate
phishing,phishing
phishing,phishing
legitimate,legitimate
legitimate,phishing
phishing,legitimate
phishing,phishing
phishing,phishing
phishing,legitimate
phishing,legitimate
phishing,phishing
phishing,phishing
phishing,phishing
legitimate,phishing
legitimate,legitimate
phishing,phishing
>>>>>>> bb9b73d848fb16b5870af5b0199a0e83ce0d7b54
legitimate,phishing
legitimate,phishing
phishing,phishing
phishing,phishing
<<<<<<< HEAD
=======
legitimate,phishing
phishing,legitimate
phishing,phishing
>>>>>>> bb9b73d848fb16b5870af5b0199a0e83ce0d7b54
legitimate,legitimate
